checkpoint,label,positive_count,positive_ratio,auroc,auprc,best_threshold,best_f1,precision_at_best,recall_at_best,mean_prob
unweighted_epoch_1,effusion,21,0.0317220538854599,0.8656860560136691,0.1160368371616146,0.1,0.247191011235955,0.1617647058823529,0.5238095238095238,0.0340557843446731
unweighted_epoch_1,cardiomegaly,36,0.0543806664645671,0.8752662406815761,0.3627942749276268,0.13,0.4423076923076923,0.3382352941176471,0.6388888888888888,0.0476679094135761
unweighted_epoch_1,edema,13,0.0196374617516994,0.9000829678795782,0.1080270321590763,0.02,0.1764705882352941,0.0975609756097561,0.9230769230769232,0.0175163745880126
unweighted_epoch_1,pneumonia,6,0.0090634441003203,0.8455284552845528,0.0699813258636788,0.11,0.1428571428571428,0.0833333333333333,0.5,0.0256655775010585
unweighted_epoch_1,pneumothorax,5,0.0075528700836002,0.8614916286149163,0.0324888036750855,0.02,0.0594059405940594,0.03125,0.6,0.0110636381432414
weighted_epoch_1,effusion,21,0.0317220538854599,0.7750538592972289,0.126849075779513,0.5,0.1180811808118081,0.064,0.7619047619047619,0.4974872469902038
weighted_epoch_1,cardiomegaly,36,0.0543806664645671,0.7747603833865815,0.1595363088704267,0.5,0.1065088757396449,0.05625,1.0,0.5153196454048157
weighted_epoch_1,edema,13,0.0196374617516994,0.8302714234917625,0.084404041050874,0.5,0.0429752066115702,0.0219594594594594,1.0,0.5140156745910645
weighted_epoch_1,pneumonia,6,0.0090634441003203,0.8267276422764228,0.0604390779917237,0.5,0.0300751879699248,0.0157480314960629,0.3333333333333333,0.4925583302974701
weighted_epoch_1,pneumothorax,5,0.0075528700836002,0.612785388127854,0.0143030344347659,0.43,0.0377358490566037,0.0198019801980198,0.4,0.4185650944709778
weighted_epoch_2,effusion,21,0.0317220538854599,0.7603446995022658,0.0784355331923399,0.45,0.1550387596899224,0.0925925925925925,0.4761904761904761,0.4310812652111053
weighted_epoch_2,cardiomegaly,36,0.0543806664645671,0.8040024849130281,0.1581944866670259,0.46,0.2608695652173913,0.189873417721519,0.4166666666666667,0.4110520482063293
weighted_epoch_2,edema,13,0.0196374617516994,0.8587175536328079,0.083262623493631,0.47,0.1621621621621621,0.0983606557377049,0.4615384615384615,0.4207320213317871
weighted_epoch_2,pneumonia,6,0.0090634441003203,0.7007113821138211,0.0266691604278875,0.49,0.0382165605095541,0.0198675496688741,0.5,0.4795324802398681
weighted_epoch_2,pneumothorax,5,0.0075528700836002,0.6474885844748859,0.0172635062432309,0.47,0.0350877192982456,0.0192307692307692,0.2,0.4439918398857116
weighted_epoch_3,effusion,21,0.0317220538854599,0.7489785305697941,0.1231816539540518,0.48,0.2278481012658227,0.1551724137931034,0.4285714285714285,0.3808140456676483
weighted_epoch_3,cardiomegaly,36,0.0543806664645671,0.8300940717074903,0.2236892787491898,0.31,0.2702702702702703,0.1677852348993288,0.6944444444444444,0.3003744482994079
weighted_epoch_3,edema,13,0.0196374617516994,0.8680810714709021,0.2725703172102419,0.47,0.21875,0.1372549019607843,0.5384615384615384,0.2804033458232879
weighted_epoch_3,pneumonia,6,0.0090634441003203,0.7959857723577236,0.0615001009460544,0.4,0.0384615384615384,0.0196078431372549,1.0,0.4166461229324341
weighted_epoch_3,pneumothorax,5,0.0075528700836002,0.6292237442922375,0.049132991201712,0.5,0.0357142857142857,0.0196078431372549,0.2,0.3646694123744964
weighted_epoch_4,effusion,21,0.0317220538854599,0.8042493128296561,0.1550122314543996,0.5,0.1624365482233502,0.0909090909090909,0.7619047619047619,0.4466817378997803
weighted_epoch_4,cardiomegaly,36,0.0543806664645671,0.8294284700035499,0.255724954778307,0.5,0.2403846153846154,0.1453488372093023,0.6944444444444444,0.4479142427444458
weighted_epoch_4,edema,13,0.0196374617516994,0.8430721820552329,0.2534507738454996,0.49,0.1117318435754189,0.0602409638554216,0.7692307692307693,0.3792507946491241
weighted_epoch_4,pneumonia,6,0.0090634441003203,0.8643292682926829,0.0575202764254576,0.5,0.0641711229946524,0.0331491712707182,1.0,0.4656185805797577
weighted_epoch_4,pneumothorax,5,0.0075528700836002,0.6380517503805175,0.0233273196371384,0.48,0.031413612565445,0.0161290322580645,0.6,0.4440743625164032
weighted_epoch_5,effusion,21,0.0317220538854599,0.833890498477082,0.2072557862514812,0.5,0.1587301587301587,0.0892857142857142,0.7142857142857143,0.3727447986602783
weighted_epoch_5,cardiomegaly,36,0.0543806664645671,0.8308484203052893,0.21950075820932,0.5,0.2566371681415929,0.1526315789473684,0.8055555555555556,0.3811923861503601
weighted_epoch_5,edema,13,0.0196374617516994,0.8599028090553515,0.1710642905236698,0.47,0.1229050279329608,0.0662650602409638,0.8461538461538461,0.3175799250602722
weighted_epoch_5,pneumonia,6,0.0090634441003203,0.8889735772357723,0.0540686472401394,0.5,0.0560747663551401,0.0288461538461538,1.0,0.450449675321579
weighted_epoch_5,pneumothorax,5,0.0075528700836002,0.6398782343987823,0.0158064478036213,0.35,0.0285714285714285,0.0144927536231884,1.0,0.422127217054367
unweighted_epoch_1,effusion,21,0.0317220538854599,0.7779511180447217,0.10420975384145811,0.09,0.2,0.1724137931034483,0.23809523809523808,0.02636483684182167
unweighted_epoch_1,cardiomegaly,36,0.054380666464567184,0.8081292154774583,0.176812020841566,0.05,0.2857142857142857,0.17647058823529413,0.75,0.046584323048591614
unweighted_epoch_1,edema,13,0.019637461751699448,0.8715183121962783,0.10216181469277537,0.06,0.21739130434782608,0.15151515151515152,0.38461538461538464,0.015573272481560707
unweighted_epoch_1,pneumonia,6,0.00906344410032034,0.8432418699186991,0.08581750852156042,0.11,0.2,0.25,0.16666666666666666,0.020017340779304504
unweighted_epoch_1,pneumothorax,5,0.007552870083600283,0.6462709284627093,0.027299354726494727,0.03,0.08,0.05,0.2,0.0045400867238640785
unweighted_epoch_2,effusion,21,0.0317220538854599,0.8134611098729663,0.13523152948077288,0.06,0.24761904761904763,0.15476190476190477,0.6190476190476191,0.025317445397377014
